0.9162597656,0.994720459,0.5628662109,0.1369628906,0.0121765137,0.7946777344
0.1205444336,0.929107666,0.2265625,0.4201049805,0.3156433105,0.4987792969
0.9450378418,0.3042907715,0.5772399902,0.8718566895,0.6510925293,0.813873291
0.8547668457,0.5519714355,0.277557373,0.3187255859,0.0332946777,0.4001464844
0.1931762695,0.3575744629,0.0615234375,0.3754272461,0.6051025391,0.5556640625
0.8239135742,0.0435791016,0.6585083008,0.4505615234,0.2884216309,0.2590637207
0.0149230957,0.8823547363,0.9606323242,0.9276123047,0.1902160645,0.104675293
0.1758422852,0.2546691895,0.4336853027,0.2725830078,0.260345459,0.3867797852
0.4292297363,0.4637145996,0.0931091309,0.8516235352,0.6002807617,0.8887939453
0.0990905762,0.7030639648,0.2992553711,0.4479370117,0.2052612305,0.7777404785
0.663269043,0.2889709473,0.7910766602,0.9690551758,0.4169616699,0.5236816406
0.1641235352,0.9250183105,0.4037780762,0.7588195801,0.5924682617,0.0762634277
0.1272277832,0.5977478027,0.4249572754,0.4003601074,0.0829467773,0.7687683105
0.3304443359,0.8285522461,0.1632080078,0.0370788574,0.1877441406,0.7015380859
0.9147338867,0.5558776855,0.6569213867,0.1802062988,0.9315185547,0.8132629395
0.9636230469,0.0177307129,0.1634521484,0.8310546875,0.9275817871,0.5993041992
0.4223937988,0.7719421387,0.7663269043,0.6554870605,0.8665466309,0.6109008789
0.7057800293,0.5560302734,0.7448425293,0.0274963379,0.9284973145,0.5894470215
0.1821594238,0.1749267578,0.8913574219,0.1358947754,0.2868347168,0.4825134277
0.5432128906,0.1381225586,0.3617858887,0.1474304199,0.4746398926,0.7780761719
0.5003662109,0.4722900391,0.5302734375,0.7646179199,0.3480529785,0.7046203613
0.9153442383,0.1387023926,0.3117370605,0.5344543457,0.3277282715,0.0025634766
